OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
223540776,271,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,32014,38.961763,-77.085998,YES,NO,,,NO,1,18,392546.66110808,143765.03951761,,
223540777,272,14th & Belmont St NW,31119,38.921074,-77.031887,YES,NO,,,NO,3,12,397234.815588,139245.17181709,,DC
223540778,273,3rd & Tingey St SE,31634,38.87501,-77.0024,YES,NO,,,NO,2,15,399791.74179325,134131.220022,,DC
223540779,274,10th & Florida Ave NW,31120,38.920387,-77.025672,YES,NO,,,NO,18,0,397773.74796634,139168.73911509,,DC
223540780,275,Potomac Ave & 8th St SE,31635,38.876737,-76.994468,YES,NO,,,NO,8,7,400480.02354886,134322.94186107,,DC
223540781,276,Crabbs Branch Way & Redland Rd,32015,39.120045,-77.156985,YES,NO,,,NO,5,10,386424.52768958,161344.27440776,,
223540782,277,Fallsgrove Dr & W Montgomery Ave,32016,39.099376,-77.188014,YES,NO,,,NO,3,12,383736.53425668,159054.82333901,,
223540783,278,Monroe St & Monroe Pl,32017,39.083673,-77.149162,YES,NO,,,NO,8,7,387094.43314867,157305.3907351,,
223540784,279,Needwood Rd & Eagles Head Ct,32018,39.123513,-77.15741,YES,NO,,,NO,12,3,386388.43917458,161729.3311025,,
223540785,280,East West Hwy & Blair Mill Rd,32019,38.990249,-77.02935,YES,NO,,,NO,9,6,397457.28862708,146924.15777926,,
223540786,281,Crabbs Branch Way & Calhoun Pl,32020,39.107709,-77.152072,YES,NO,,,NO,10,5,386847.10375582,159974.10023058,,
223540787,282,47th & Elm St,32021,38.982456,-77.091991,YES,NO,,,NO,3,12,392029.57027544,146062.66507911,,
223540788,283,Dennis & Amherst Ave,32022,39.025387,-77.044563,YES,NO,,,NO,7,7,396141.22801173,150825.37283059,,
223540789,284,Montgomery College/W Campus Dr & Mannakee St,32023,39.095661,-77.159048,YES,NO,,,NO,16,5,386241.41121024,158637.64923132,,
223540790,285,Fenton St & Gist Ave,32024,38.989724,-77.023854,YES,NO,,,NO,2,9,397933.4145005,146865.73881136,,
223540791,286,Carroll & Westmoreland Ave,32025,38.975,-77.01121,YES,NO,,,NO,0,15,399028.62364911,145231.02061742,,
223540792,287,Carroll & Ethan Allen Ave,32026,38.977933,-77.006472,YES,NO,,,NO,0,15,399439.20704805,145556.57211519,,
223540793,288,Battery Ln & Trolley Trail,32027,38.992375,-77.100104,YES,NO,,,NO,9,6,391327.8386053,147164.51103503,,
223540794,289,Norfolk & Rugby Ave,32028,38.990639,-77.100239,YES,NO,,,NO,1,10,391315.93174708,146971.81066443,,
223540795,290,Offutt Ln & Chevy Chase Dr,32029,38.977093,-77.094589,YES,NO,,,NO,6,5,391803.8534602,145467.55036065,,
223540796,291,Broschart & Blackwell Rd,32030,39.102099,-77.200322,YES,NO,,,NO,7,8,382672.5405711,159359.37466242,,
223540797,292,Taft St & E Gude Dr,32031,39.094103,-77.132954,YES,NO,,,NO,4,11,388498.44225283,158461.08173,,
223540798,293,Fleet St & Ritchie Pkwy,32032,39.076331,-77.141378,YES,NO,,,NO,14,1,387766.64569552,156489.26883494,,
223540799,294,Piccard & W Gude Dr,32033,39.102212,-77.177091,YES,NO,,,NO,12,7,384681.99807835,159367.76528288,,
223540800,295,Ripley & Bonifant St,32034,38.992679,-77.029457,YES,NO,,,NO,1,14,397448.10582111,147193.91499269,,
223540801,296,Georgia Ave & Spring St,32035,38.999388,-77.031555,YES,NO,,,NO,6,3,397266.61108519,147938.74232081,,
223540802,297,Fenton St & Ellsworth Dr,32036,38.997033,-77.025608,YES,NO,,,NO,0,15,397781.68474404,147677.15218341,,
223540803,298,King Farm Blvd & Pleasant Dr,32037,39.114688,-77.171487,YES,NO,,,NO,5,13,385169.33354228,160751.83427443,,
223540804,299,King Farm Blvd & Piccard Dr,32038,39.110314,-77.182669,YES,NO,,,NO,6,8,384201.31311065,160268.14020717,,
223540805,301,Calvert St & Woodley Pl NW,31121,38.923583,-77.050046,YES,NO,,,NO,6,10,395660.25194765,139524.3986898,,DC
223540806,302,New Jersey Ave & N St NW/Dunbar HS,31636,38.90706,-77.015231,YES,NO,,,NO,17,2,398678.93496158,137689.1287794,,DC
223540807,303,Nannie Helen Burroughs Ave & 49th St NE,31710,38.898536,-76.931862,YES,NO,,,NO,7,4,405910.67420774,136744.99164114,,DC
223540808,304,Deanwood Rec Center,31711,38.908473,-76.933099,YES,NO,,,NO,6,9,405802.5614741,137847.99932996,,DC
223540809,305,Hains Point/Buckeye & Ohio Dr SW,31273,38.878433,-77.03023,YES,NO,,,NO,5,12,397376.94021436,134511.63048068,,DC
223540810,306,Arlington Blvd & Fillmore St,31070,38.873755,-77.089233,YES,NO,,,NO,7,4,392256.73815346,133995.68730513,,
223540811,307,Long Bridge Park/Long Bridge Dr & 6th St S,31071,38.86646,-77.04826,YES,NO,,,NO,5,5,395811.77300147,133183.21065875,,
223540812,308,Old Georgetown Rd & Southwick St,32039,38.999634,-77.109647,YES,NO,,,NO,2,17,390502.08229336,147971.28240078,,
223540813,309,Friendship Blvd & Willard Ave,32040,38.96115,-77.088659,YES,NO,,,NO,17,2,392315.96955553,143697.21146898,,
223540814,310,North Capitol St & G Pl NE,31637,38.899703,-77.008911,YES,NO,,,NO,3,16,399227.02220444,136872.3698297,,DC
223540815,311,31st & Woodrow St S,31072,38.837666,-77.09482,YES,NO,,,NO,1,10,391767.76100852,129990.04042841,,
223540816,312,Washington Blvd & Walter Reed Dr,31073,38.873219,-77.082104,YES,NO,,,NO,7,8,392875.30889503,133935.6067688,,
223540817,313,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,31074,38.869418,-77.095596,YES,NO,,,NO,5,9,391704.07999902,133514.80715931,,
223540818,314,Connecticut Ave & Tilden St NW,31313,38.941154,-77.062036,YES,NO,,,NO,0,15,394621.86255124,141475.56998399,,DC
223540819,315,Medical Center Dr & Key West Ave,32041,39.103091,-77.196442,YES,NO,,,NO,5,10,383008.38939989,159468.76971438,,
223540820,316,Shady Grove Hospital,32042,39.097636,-77.196636,YES,NO,,,NO,7,12,382990.30463098,158863.23308023,,
223541828,162,1st & K St SE,31628,38.878854,-77.005727,YES,NO,,,NO,10,5,399503.07062433,134557.94595692,,DC
223541829,163,39th & Calvert St NW / Stoddert,31306,38.922649,-77.077271,YES,NO,,,NO,7,11,393299.34379144,139422.36308098,,DC
223541830,164,1st & Washington Hospital Center NW,31507,38.928743,-77.012457,YES,NO,,,NO,5,9,398919.86707704,140096.08692818,,DC
223541831,165,Virginia Square Metro / N Monroe St & 9th St N,31024,38.882788,-77.103148,YES,NO,,,NO,0,19,391050.38685989,134999.69056817,,
223541832,166,Central Library / N Quincy St & 10th St N,31025,38.88397,-77.10783,YES,NO,,,NO,7,3,390644.30934888,135131.37099114,,
223541833,167,Washington Blvd & 10th St N,31026,38.884734,-77.093485,YES,NO,,,NO,3,11,391889.01580315,135214.80848005,,
223541834,168,Jefferson Dr & 14th St SW,31247,38.888553,-77.032429,YES,NO,,,NO,3,20,397186.53186857,135635.0937417,,DC
223541835,169,Smithsonian-National Mall / Jefferson Dr & 12th St SW,31248,38.888767,-77.02858,YES,NO,,,NO,1,34,397520.46999936,135658.73782359,,DC
223541836,170,George Mason Dr & Wilson Blvd,31036,38.87887,-77.1207,YES,NO,,,NO,6,8,389526.91727648,134566.63015205,,
223541837,171,6th St & Indiana Ave NW,31264,38.894573,-77.01994,YES,NO,,,NO,1,18,398270.19576117,136303.05019148,,DC
223541838,172,N Veitch & Key Blvd,31028,38.893401,-77.085867,YES,NO,,,NO,3,7,392550.87662962,136176.26338223,,
223541839,173,Lee Hwy & N Adams St,31030,38.89593,-77.089006,YES,NO,,,NO,11,7,392278.83629398,136457.26307774,,
223541840,174,15th & N Scott St,31031,38.89054,-77.08095,YES,NO,,,NO,8,2,392977.15386494,135858.28028852,,
223541841,175,Washington Blvd & 7th St N,31032,38.880834,-77.091129,YES,NO,,,NO,3,7,392092.9958064,134781.67205596,,
223540821,317,Veterans Pl & Pershing Dr,32043,38.997445,-77.023894,YES,NO,,,NO,4,6,397930.17345122,147722.84809045,,
